bookId,title,series,author,rating,description,language,isbn,genres,characters,bookFormat,edition,pages,publisher,publishDate,firstPublishDate,awards,numRatings,ratingsByStars,likedPercent,setting,coverImg,bbeScore,bbeVotes,price
32620332-the-seven-husbands-of-evelyn-hugo,The Seven Husbands of Evelyn Hugo,,Taylor Jenkins Reid (Goodreads Author),4.35,"Aging and reclusive Hollywood movie icon Evelyn Hugo is finally ready to tell the truth about her glamorous and scandalous life.When she chooses unknown magazine reporter Monique Grant for the job, no one in the journalism community is more astounded than Monique herself. Why her? Why now? Monique is not exactly on top of the world. Her husband, David, has left her, and her career has stagnated. Regardless of why Evelyn has chosen her to write her biography, Monique is determined to use this opportunity to jumpstart her career.Summoned to Evelyn’s Upper East Side apartment, Monique listens as Evelyn unfurls her story: from making her way to Los Angeles in the 1950s to her decision to leave show business in the late 80s, and, of course, the seven husbands along the way. As Evelyn’s life unfolds—revealing a ruthless ambition, an unexpected friendship, and a great forbidden love—Monique begins to feel a very a real connection to the actress. But as Evelyn’s story catches up with the present, it becomes clear that her life intersects with Monique’s own in tragic and irreversible ways.",English,9.7815E+12,"['Historical Fiction', 'Fiction', 'Romance', 'Contemporary', 'LGBT', 'Adult', 'Audiobook', 'Historical', 'Adult Fiction', 'Chick Lit']",[],Hardcover,,391,Atria Books,June 13th 2017,,"['Goodreads Choice Award Nominee for Historical Fiction (2017)', 'Book of the Month Book of the Year Award Nominee (2017)']",222152,"['115856', '76708', '23255', '4755', '1578']",97,"['Upper East Side, Manhattan, New York (United States)']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1498169036l/32620332._SY475_.jpg,2808,30,15.99
6837103-the-kitchen-house,The Kitchen House,,Kathleen Grissom (Goodreads Author),4.19,"When a white servant girl violates the order of plantation society, she unleashes a tragedy that exposes the worst and best in the people she has come to call her family. Orphaned while onboard ship from Ireland, seven-year-old Lavinia arrives on the steps of a tobacco plantation where she is to live and work with the slaves of the kitchen house. Under the care of Belle, the master's illegitimate daughter, Lavinia becomes deeply bonded to her adopted family, though she is set apart from them by her white skin. Eventually, Lavinia is accepted into the world of the big house, where the master is absent and the mistress battles opium addiction. Lavinia finds herself perilously straddling two very different worlds. When she is forced to make a choice, loyalties are brought into question, dangerous truths are laid bare, and lives are put at risk.",English,9.78144E+12,"['Historical Fiction', 'Fiction', 'Historical', 'Book Club', 'Audiobook', 'Adult Fiction', 'Adult', 'Southern', 'Novels', 'African American']","['Ben', 'Marshall', 'Captain Pyke', 'Miss Martha', 'Lavinia McCarten', 'Mama Mae', 'Papa George', 'Uncle Jacob', 'Sukey', 'Campbell', 'Fanny', 'Beattie', 'Dory', 'Overseer Rankin', 'Sally Pyke']",Paperback,,369,Atria Books,February 2nd 2010,,['Goodreads Choice Award Nominee for Historical Fiction and for Debut Author (2010)'],233993,"['100515', '90830', '32543', '7389', '2716']",96,['Virginia (United States)'],https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1463229128l/6837103._SY475_.jpg,2800,34,3.42
27833670-dark-matter,Dark Matter,,Blake Crouch (Goodreads Author),4.09,"Jason Dessen is walking home through the chilly Chicago streets one night, looking forward to a quiet evening in front of the fireplace with his wife, Daniela, and their son, Charlie—when his reality shatters.- - -'Are you happy in your life?'Those are the last words Jason Dessen hears before the masked abductor knocks him unconscious. Before he awakes to find himself strapped to a gurney, surrounded by strangers in hazmat suits. Before the man he's never met smiles down at him and says, 'Welcome back.'In this world he's woken up to, Jason's life is not the one he knows. His wife is not his wife. His son was never born. And Jason is not an ordinary college physics professor, but a celebrated genius who has achieved something remarkable. Something impossible.Is it this world or the other that's the dream?And even if the home he remembers is real, how can Jason possibly make it back to the family he loves? The answers lie in a journey more wondrous and horrifying than anything he could've imagined - one that will force him to confront the darkest parts of himself even as he battles a terrifying, seemingly unbeatable foe.",English,9.7811E+12,"['Science Fiction', 'Fiction', 'Thriller', 'Mystery', 'Audiobook', 'Mystery Thriller', 'Adult', 'Fantasy', 'Science Fiction Fantasy', 'Suspense']","['Jason Dessen', 'Daniela Vargas Dessen', 'Amanda Lucas', 'Charlie Dessen']",Hardcover,,342,Crown,July 26th 2016,,"['Goodreads Choice Award Nominee for Science Fiction (2016)', 'Book of the Month Book of the Year Award Nominee (2016)']",259579,"['98760', '103578', '43593', '10153', '3495']",95,"['Chicago, Illinois (United States)', 'Illinois (United States)']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1472119680l/27833670._SY475_.jpg,2794,34,15.89
20698530-p-s-i-still-love-you,P.S. I Still Love You,To All the Boys I've Loved Before #2,Jenny Han (Goodreads Author),4.11,"Lara Jean didn’t expect to really fall for Peter.She and Peter were just pretending. Except suddenly they weren’t. Now Lara Jean is more confused than ever.When another boy from her past returns to her life, Lara Jean’s feelings for him return too. Can a girl be in love with two boys at once?In this charming and heartfelt sequel to the New York Times bestseller To All the Boys I've Loved Before, we see first love through the eyes of the unforgettable Lara Jean. Love is never easy, but maybe that’s part of what makes it so amazing.",English,9.78144E+12,"['Young Adult', 'Romance', 'Contemporary', 'Fiction', 'Audiobook', 'Chick Lit', 'Young Adult Contemporary', 'Realistic Fiction', 'High School', 'Young Adult Romance']","['Josh', 'Kitty', 'Margot', 'Lara Jean', 'Peter Kavinsky']",Hardcover,,337,Simon & Schuster Books for Young Readers,May 26th 2015,,"['Goodreads Choice Award Nominee for Young Adult Fiction (2015)', 'Asian/Pacific American Award for Literature for Young Adult (2015)']",230729,"['89282', '89438', '41571', '7986', '2452']",95,"['Charlottesville, Virginia (United States)']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1422881430l/20698530.jpg,2530,29,5.29
13145.Along_Came_a_Spider,Along Came a Spider,Alex Cross #1,James Patterson (Goodreads Author),4.11,"A missing little girl named Maggie Rose . . . a family of three brutally murdered in the projects of Washington, D.C. . . . the thrill-killing of a beautiful elementary school teacher . . . a psychopathic serial kidnapper/murderer who is so terrifying that the FBI, the Secret Service, and the police cannot outsmart him - even after he's been captured.Gary Soneji wants to commit the crime of the century. Alex Cross is the brilliant homicide detective pitted against him. Jezzie Flanagan is the first female supervisor of the Secret Service who completes one of the most unusual suspense triangles in any thriller you have ever read. Alex Cross and Jezzie Flanagan are about to have a forbidden love affair—at the worst possible time for both of them. Because Gary Soneji is playing at the top of his game. The latest of the unspeakable crimes happens in Alex Cross's precinct. It happens under the noses of Jezzie Flanagan's men. Now Alex Cross must face the ultimate test: How do you outmaneuver a brilliant psychopath?",English,9.78045E+12,"['Mystery', 'Fiction', 'Thriller', 'Crime', 'Suspense', 'Mystery Thriller', 'Detective', 'Adult', 'Murder Mystery', 'Audiobook']","['Alex Cross', 'Gary Soneji', 'Gary Murphy', 'Regina ""Nana Mama"" Cross']",Paperback,,449,Grand Central Publishing,August 1st 2003,02/01/93,[],400302,"['161458', '145819', '73172', '13829', '6024']",95,"['Washington, D.C. (United States)']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388272560l/13145.jpg,2521,40,7.86
40097951-the-silent-patient,The Silent Patient,,Alex Michaelides (Goodreads Author),4.09,"Alicia Berenson’s life is seemingly perfect. A famous painter married to an in-demand fashion photographer, she lives in a grand house with big windows overlooking a park in one of London’s most desirable areas. One evening her husband Gabriel returns home late from a fashion shoot, and Alicia shoots him five times in the face, and then never speaks another word.Alicia’s refusal to talk, or give any kind of explanation, turns a domestic tragedy into something far grander, a mystery that captures the public imagination and casts Alicia into notoriety. The price of her art skyrockets, and she, the silent patient, is hidden away from the tabloids and spotlight at the Grove, a secure forensic unit in North London.Theo Faber is a criminal psychotherapist who has waited a long time for the opportunity to work with Alicia. His determination to get her to talk and unravel the mystery of why she shot her husband takes him down a twisting path into his own motivations—a search for the truth that threatens to consume him...",English,9.78125E+12,"['Mystery', 'Thriller', 'Fiction', 'Mystery Thriller', 'Audiobook', 'Suspense', 'Crime', 'Adult', 'Psychological Thriller', 'Contemporary']","['Alicia Berenson', 'Theo Faber', 'Kathy Faber', 'Professor Lazarus Diomedes', 'Gabe Berenson', 'Max Berenson', 'Christian West']",Hardcover,,325,Celadon Books,February 5th 2019,,['Goodreads Choice Award for Mystery & Thriller and Nominee for Debut Novel (2019)'],507237,"['192006', '202843', '86249', '19365', '6774']",95,"['London, England']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1582759969l/40097951._SX318_.jpg,2444,28,15.63
34066798-a-gentleman-in-moscow,A Gentleman in Moscow,,Amor Towles (Goodreads Author),4.34,"From the New York Times bestselling author of Rules of Civility—a transporting novel about a man who is ordered to spend the rest of his life inside a luxury hotelWith his breakout debut novel, Rules of Civility, Amor Towles established himself as a master of absorbing, sophisticated fiction, bringing late 1930s Manhattan to life with splendid atmosphere and a flawless command of style. Readers and critics were enchanted; as NPR commented, “Towles writes with grace and verve about the mores and manners of a society on the cusp of radical change.”A Gentleman in Moscow immerses us in another elegantly drawn era with the story of Count Alexander Rostov. When, in 1922, he is deemed an unrepentant aristocrat by a Bolshevik tribunal, the count is sentenced to house arrest in the Metropol, a grand hotel across the street from the Kremlin. Rostov, an indomitable man of erudition and wit, has never worked a day in his life, and must now live in an attic room while some of the most tumultuous decades in Russian history are unfolding outside the hotel’s doors. Unexpectedly, his reduced circumstances provide him a doorway into a much larger world of emotional discovery.Brimming with humour, a glittering cast of characters, and one beautifully rendered scene after another, this singular novel casts a spell as it relates the count’s endeavour to gain a deeper understanding of what it means to be a man of purpose.",English,9.78014E+12,"['Historical Fiction', 'Fiction', 'Russia', 'Historical', 'Audiobook', 'Book Club', 'Literary Fiction', 'Novels', 'Adult Fiction', 'Adult']","['Count Alexander Rostov', 'Mikhail Fyodorovich Mindich', 'Anna Urbanova', 'Nina Kulikova', 'Sofia Kulikova']",Paperback,,462,Penguin Books,March 26th 2019,2009/6/16,"['Kirkus Prize Nominee for Fiction (2016)', 'Goodreads Choice Award Nominee for Historical Fiction (2016)', 'Book of the Month Book of the Year Award Nominee (2016)', 'International Dublin Literary Award Nominee (2018)']",293330,"['161425', '87671', '31051', '8990', '4193']",96,"['Hotel Metropol, Moscow (Russian Federation)', 'Moscow (Russian Federation)']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1551480896l/34066798._SY475_.jpg,2401,27,6.29
25489625-between-the-world-and-me,Between the World and Me,,Ta-Nehisi Coates,4.39,"“This is your country, this is your world, this is your body, and you must find some way to live within the all of it.” In a profound work that pivots from the biggest questions about American history and ideals to the most intimate concerns of a father for his son, Ta-Nehisi Coates offers a powerful new framework for understanding our nation’s history and current crisis. Americans have built an empire on the idea of “race,” a falsehood that damages us all but falls most heavily on the bodies of black women and men—bodies exploited through slavery and segregation, and, today, threatened, locked up, and murdered out of all proportion. What is it like to inhabit a black body and find a way to live within it? And how can we all honestly reckon with this fraught history and free ourselves from its burden?  Between the World and Me is Ta-Nehisi Coates’s attempt to answer these questions in a letter to his adolescent son. Coates shares with his son—and readers—the story of his awakening to the truth about his place in the world through a series of revelatory experiences, from Howard University to Civil War battlefields, from the South Side of Chicago to Paris, from his childhood home to the living rooms of mothers whose children’s lives were taken as American plunder. Beautifully woven from personal narrative, reimagined history, and fresh, emotionally charged reportage, Between the World and Me clearly illuminates the past, bracingly confronts our present, and offers a transcendent vision for a way forward.",English,9.78081E+12,"['Nonfiction', 'Memoir', 'Race', 'Audiobook', 'History', 'Biography', 'Social Justice', 'Essays', 'Politics', 'African American']",['Ta-Nehisi Coates'],Hardcover,,152,Spiegel & Grau,July 14th 2015,,"['Pulitzer Prize Nominee for General Nonfiction (2016)', 'National Book Award for Nonfiction (2015)', 'ALA Alex Award (2016)', 'PEN/Diamonstein-Spielvogel Award for the Art of the Essay  (2016)', 'National Book Critics Circle Award Nominee for Criticism (2015)', 'NAIBA Book of the Year for Nonfiction (2016)', 'Kirkus Prize for Nonfiction (2015)', 'Goodreads Choice Award Nominee for Nonfiction (2015)']",235339,"['136056', '69174', '20504', '5880', '3725']",96,['United States of America'],https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1451435027l/25489625._SY475_.jpg,2004,23,13.7
40597810-daisy-jones-the-six,Daisy Jones & The Six,,Taylor Jenkins Reid (Goodreads Author),4.2,"A gripping novel about the whirlwind rise of an iconic 1970s rock group and their beautiful lead singer, revealing the mystery behind their infamous break up.Everyone knows Daisy Jones & The Six, but nobody knows the real reason why they split at the absolute height of their popularity…until now.Daisy is a girl coming of age in L.A. in the late sixties, sneaking into clubs on the Sunset Strip, sleeping with rock stars, and dreaming of singing at the Whisky a Go-Go. The sex and drugs are thrilling, but it’s the rock and roll she loves most. By the time she’s twenty, her voice is getting noticed, and she has the kind of heedless beauty that makes people do crazy things.Another band getting noticed is The Six, led by the brooding Billy Dunne. On the eve of their first tour, his girlfriend Camila finds out she’s pregnant, and with the pressure of impending fatherhood and fame, Billy goes a little wild on the road.Daisy and Billy cross paths when a producer realizes the key to supercharged success is to put the two together. What happens next will become the stuff of legend.",English,9.78152E+12,"['Historical Fiction', 'Fiction', 'Audiobook', 'Adult', 'Contemporary', 'Music', 'Historical', 'Adult Fiction', 'Romance', 'Book Club']","['Warren Raymond', 'Billy Dunne', 'Daisy Jones', 'Simone Jackson', 'Graham Dunne', 'Camila Dunne', 'Eddie Loving', 'Karen Karen', 'Teddy Price']",Hardcover,,355,Ballantine Books,March 5th 2019,,['Goodreads Choice Award for Historical Fiction (2019)'],272212,"['119223', '101739', '39553', '8744', '2953']",96,[],https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1580255154l/40597810._SY475_.jpg,1897,20,5.92
3367956-hotel-on-the-corner-of-bitter-and-sweet,Hotel on the Corner of Bitter and Sweet,,Jamie Ford (Goodreads Author),4.02,"In 1986, Henry Lee joins a crowd outside the Panama Hotel, once the gateway to Seattle's Japantown. It has been boarded up for decades, but now the new owner has discovered the belongings of Japanese families who were sent to internment camps during World War II. As the owner displays and unfurls a Japanese parasol, Henry, a Chinese American, remembers a young Japanese American girl from his childhood in the 1940s—Keiko Okabe, with whom he forged a bond of friendship and innocent love that transcended the prejudices of their Old World ancestors. After Keiko and her family were evacuated to the internment camps, she and Henry could only hope that their promise to each other would be kept. Now, forty years later, Henry explores the hotel's basement for the Okabe family's belongings and for a long-lost object whose value he cannot even begin to measure. His search will take him on a journey to revisit the sacrifices he has made for family, for love, for country.",English,9.78035E+12,"['Historical Fiction', 'Fiction', 'Historical', 'Romance', 'World War II', 'Book Club', 'Adult Fiction', 'War', 'Adult', 'Audiobook']","['Henry Lee', 'Keiko Okabe']",Hardcover,,290,Ballantine Books,January 27th 2009,,"['Montana Book Award (2009)', 'Goodreads Choice Award Nominee for Fiction (2009)', ""David J. Langum Sr. Prize Nominee for American Historical Fiction  (Director's Mention) (2009)"", 'Asian/Pacific American Award for Literature for Adult Fiction (2009)']",262877,"['87460', '109281', '52410', '10819', '2907']",95,"['Seattle, Washington (United States)', 'Puyallup, Washington (United States)', 'Minidoka, Idaho (United States)', 'Washington (state) (United States)']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348332221l/3367956.jpg,1704,24,3.51
51704136-little-fires-everywhere,Little Fires Everywhere,,Celeste Ng (Goodreads Author),4.1,"From the bestselling author of Everything I Never Told You, a riveting novel that traces the intertwined fates of the picture-perfect Richardson family and the enigmatic mother and daughter who upend their lives.In Shaker Heights, a placid, progressive suburb of Cleveland, everything is planned--from the layout of the winding roads, to the colors of the houses, to the successful lives its residents will go on to lead. And no one embodies this spirit more than Elena Richardson, whose guiding principle is playing by the rules.Enter Mia Warren--an enigmatic artist and single mother--who arrives in this idyllic bubble with her teenaged daughter Pearl, and rents a house from the Richardsons. Soon Mia and Pearl become more than tenants: all four Richardson children are drawn to the mother-daughter pair. But Mia carries with her a mysterious past and a disregard for the status quo that threatens to upend this carefully ordered community.When old family friends of the Richardsons attempt to adopt a Chinese-American baby, a custody battle erupts that dramatically divides the town--and puts Mia and Elena on opposing sides. Suspicious of Mia and her motives, Elena is determined to uncover the secrets in Mia's past. But her obsession will come at unexpected and devastating costs.Little Fires Everywhere explores the weight of secrets, the nature of art and identity, and the ferocious pull of motherhood--and the danger of believing that following the rules can avert disaster.Named a Best Book of the Year by: People, The Washington Post, Bustle, Esquire, Southern Living, The Daily Beast, GQ, Entertainment Weekly, NPR, Amazon, Barnes & Noble, iBooks, Audible, Goodreads, Library Reads, Book of the Month, Paste, Kirkus Reviews, St. Louis Post-Dispatch, and many more...Perfect for book clubs! Visit celesteng.com for discussion guides and more. ",English,9.78014E+12,"['Fiction', 'Contemporary', 'Audiobook', 'Adult', 'Adult Fiction', 'Literary Fiction', 'Book Club', 'Novels', 'Family', 'Realistic Fiction']","['Mia Warren', 'Pearl Warren', 'Elena Richardson', 'Izzy Richardson', 'Moody Richardson', 'Trip Richardson', 'Lexie Richardson']",Paperback,Movie Tie-In,368,Penguin Books,March 17th 2020,2009/12/17,"['Goodreads Choice Award for Fiction (2017) and Nominee for Best of the Best  (2018)', 'NAACP Image Award Nominee for Fiction (2018)', 'Book of the Month Book of the Year Award Nominee (2017)']",712854,"['250439', '315159', '119443', '21545', '6268']",96,"['Cleveland, Ohio (United States)', 'Shaker Heights, Ohio (United States)', 'Ohio (United States)', 'Pittsburgh, Pennsylvania (United States)']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1582774355l/51704136.jpg,1616,20,4.59
6469165-what-alice-forgot,What Alice Forgot,,Liane Moriarty (Goodreads Author),4.08,"Alice Love is twenty-nine, crazy about her husband, and pregnant with her first child.So imagine Alice’s surprise when she comes to on the floor of a gym and is whisked off to the hospital where she discovers the honeymoon is truly over — she’s getting divorced, she has three kids and she’s actually 39 years old. Alice must reconstruct the events of a lost decade, and find out whether it’s possible to reconstruct her life at the same time. She has to figure out why her sister hardly talks to her, and how is it that she’s become one of those super skinny moms with really expensive clothes. Ultimately, Alice must discover whether forgetting is a blessing or a curse, and whether it’s possible to start over.",English,9.78014E+12,"['Fiction', 'Chick Lit', 'Contemporary', 'Romance', 'Adult', 'Audiobook', 'Adult Fiction', 'Book Club', 'Mystery', 'Australia']",[],Paperback,,476,PanMacmillan Australia,May-10,2005/1/9,[],356877,"['121636', '157806', '63909', '10501', '3025']",96,"['Australia', 'Sydney, New South Wales (Australia)']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1377159022l/6469165.jpg,1560,19,3.11
32148570-before-we-were-yours,Before We Were Yours,,Lisa Wingate (Goodreads Author),4.37,"Memphis, 1939. Twelve-year-old Rill Foss and her four younger siblings live a magical life aboard their family’s Mississippi River shantyboat. But when their father must rush their mother to the hospital one stormy night, Rill is left in charge—until strangers arrive in force. Wrenched from all that is familiar and thrown into a Tennessee Children’s Home Society orphanage, the Foss children are assured that they will soon be returned to their parents—but they quickly realize the dark truth. At the mercy of the facility’s cruel director, Rill fights to keep her sisters and brother together in a world of danger and uncertainty.Aiken, South Carolina, present day. Born into wealth and privilege, Avery Stafford seems to have it all: a successful career as a federal prosecutor, a handsome fiancé, and a lavish wedding on the horizon. But when Avery returns home to help her father weather a health crisis, a chance encounter leaves her with uncomfortable questions and compels her to take a journey through her family’s long-hidden history, on a path that will ultimately lead either to devastation or to redemption.Based on one of America’s most notorious real-life scandals—in which Georgia Tann, director of a Memphis-based adoption organization, kidnapped and sold poor children to wealthy families all over the country—Lisa Wingate’s riveting, wrenching, and ultimately uplifting tale reminds us how, even though the paths we take can lead to many places, the heart never forgets where we belong.",English,9.78043E+12,"['Historical Fiction', 'Fiction', 'Historical', 'Audiobook', 'Book Club', 'Adult', 'Adult Fiction', 'Family', 'Adoption', 'Contemporary']",[],Hardcover,,342,Ballantine Books,June 6th 2017,,['Goodreads Choice Award for Historical Fiction (2017) and Nominee for Best of the Best  (2018)'],376030,"['196193', '134526', '36157', '6289', '2865']",98,"['Memphis, Tennessee (United States)', 'South Carolina (United States)']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1498910914l/32148570._SY475_.jpg,1472,17,7.28
18079776-the-invention-of-wings,The Invention of Wings,,Sue Monk Kidd (Goodreads Author),4.24,"Writing at the height of her narrative and imaginative gifts, Sue Monk Kidd presents a masterpiece of hope, daring, the quest for freedom, and the desire to have a voice in the world—and it is now the newest Oprah’s Book Club 2.0 selection.Hetty “Handful” Grimke, an urban slave in early nineteenth century Charleston, yearns for life beyond the suffocating walls that enclose her within the wealthy Grimke household. The Grimke’s daughter, Sarah, has known from an early age she is meant to do something large in the world, but she is hemmed in by the limits imposed on women.Kidd’s sweeping novel is set in motion on Sarah’s eleventh birthday, when she is given ownership of ten year old Handful, who is to be her handmaid. We follow their remarkable journeys over the next thirty five years, as both strive for a life of their own, dramatically shaping each other’s destinies and forming a complex relationship marked by guilt, defiance, estrangement and the uneasy ways of love.As the stories build to a riveting climax, Handful will endure loss and sorrow, finding courage and a sense of self in the process. Sarah will experience crushed hopes, betrayal, unrequited love, and ostracism before leaving Charleston to find her place alongside her fearless younger sister, Angelina, as one of the early pioneers in the abolition and women’s rights movements.Inspired by the historical figure of Sarah Grimke, Kidd goes beyond the record to flesh out the rich interior lives of all of her characters, both real and invented, including Handful’s cunning mother, Charlotte, who courts danger in her search for something better.This exquisitely written novel is a triumph of storytelling that looks with unswerving eyes at a devastating wound in American history, through women whose struggles for liberation, empowerment, and expression will leave no reader unmoved.",English,9.78067E+12,"['Historical Fiction', 'Fiction', 'Historical', 'Book Club', 'Audiobook', 'Adult Fiction', 'Adult', 'Novels', 'African American', 'Southern']","['Hetty ""Handful” Grimke', 'Sarah Moore Grimké', 'Charlotte Grimke', 'Angelina Grimké']",Hardcover,,384,Viking,January 7th 2014,,"['Florida Book Award for General Fiction - Gold (2014)', 'Goodreads Choice Award Nominee for Historical Fiction (2014)', 'International Dublin Literary Award Nominee (2016)']",263623,"['114842', '107431', '33773', '5446', '2131']",97,"['Charleston, South Carolina (United States)']",https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386699861l/18079776.jpg,1356,18,4.81
